,Date,Train Predict,Test Predict
277,2018-02-18,10217.5908203125,
278,2018-02-19,10837.59375,
279,2018-02-20,10712.51953125,
280,2018-02-21,11153.5751953125,
281,2018-02-22,11297.271484375,
282,2018-02-23,11007.0517578125,
283,2018-02-24,10383.84375,
284,2018-02-25,10361.275390625,
285,2018-02-26,10200.0029296875,
286,2018-02-27,10160.6806640625,
287,2018-02-28,10447.54296875,
288,2018-03-01,10681.578125,
289,2018-03-02,10639.82421875,
290,2018-03-03,10975.8134765625,
291,2018-03-04,11107.455078125,
292,2018-03-05,11413.861328125,
293,2018-03-06,11514.1923828125,
294,2018-03-07,11571.814453125,
295,2018-03-08,11149.107421875,
296,2018-03-09,10369.0966796875,
297,2018-03-10,9877.0634765625,
298,2018-03-11,9827.8828125,
299,2018-03-12,9494.4658203125,
300,2018-03-13,9763.1162109375,
301,2018-03-14,9670.25390625,
302,2018-03-15,9756.15625,
303,2018-03-16,8969.2744140625,
304,2018-03-17,8910.7958984375,
305,2018-03-18,8895.78125,
306,2018-03-19,8585.912109375,
307,2018-03-20,8918.8154296875,
308,2018-03-21,9180.751953125,
309,2018-03-22,9453.3095703125,
310,2018-03-23,9503.6455078125,
311,2018-03-24,9351.3623046875,
312,2018-03-25,9443.615234375,
313,2018-03-26,9231.595703125,
314,2018-03-27,9102.607421875,
315,2018-03-28,8809.314453125,
316,2018-03-29,8521.3408203125,
317,2018-03-30,8620.521484375,
318,2018-03-31,7989.04052734375,
319,2018-04-01,7780.6279296875,
320,2018-04-02,7796.1962890625,
321,2018-04-03,7648.97900390625,
322,2018-04-04,7846.244140625,
323,2018-04-05,8097.86572265625,
324,2018-04-06,7643.32568359375,
325,2018-04-07,7644.65185546875,
326,2018-04-08,7450.26953125,
327,2018-04-09,7683.65869140625,
328,2018-04-10,7754.50244140625,
329,2018-04-11,7580.40771484375,
330,2018-04-12,7625.50146484375,
331,2018-04-13,7696.37353515625,
332,2018-04-14,8428.568359375,
333,2018-04-15,8409.431640625,
334,2018-04-16,8585.5478515625,
335,2018-04-17,8848.5478515625,
336,2018-04-18,8697.494140625,
337,2018-04-19,8596.37109375,
338,2018-04-20,8744.6455078125,
339,2018-04-21,8865.2216796875,
340,2018-04-22,9269.896484375,
341,2018-04-23,9448.3916015625,
342,2018-04-24,9407.345703125,
343,2018-04-25,9485.404296875,
344,2018-04-26,9811.833984375,
345,2018-04-27,9418.2734375,
346,2018-04-28,9644.2900390625,
347,2018-04-29,9486.7275390625,
348,2018-04-30,9709.4677734375,
349,2018-05-01,9823.681640625,
350,2018-05-02,9799.87890625,
351,2018-05-03,9673.3125,
352,2018-05-04,9731.1865234375,
353,2018-05-05,9945.4111328125,
354,2018-05-06,10037.962890625,
355,2018-05-07,10152.28515625,
356,2018-05-08,10092.0478515625,
357,2018-05-09,9922.099609375,
358,2018-05-10,9756.0224609375,
359,2018-05-11,9796.60546875,
360,2018-05-12,9626.8486328125,
361,2018-05-13,9096.13671875,
362,2018-05-14,9070.5810546875,
363,2018-05-15,9263.810546875,
364,2018-05-16,9329.328125,
365,2018-05-17,9151.43359375,
366,2018-05-18,8974.3359375,
367,2018-05-19,8712.6416015625,
368,2018-05-20,8845.2890625,
369,2018-05-21,8857.5322265625,
370,2018-05-22,9112.9326171875,
371,2018-05-23,9058.876953125,
372,2018-05-24,8683.2490234375,
373,2018-05-25,8294.8095703125,
374,2018-05-26,8312.5859375,
375,2018-05-27,8203.2265625,
376,2018-05-28,8108.48046875,
377,2018-05-29,8099.21337890625,
378,2018-05-30,7900.96435546875,
379,2018-05-31,8160.56787109375,
380,2018-06-01,8087.8408203125,
381,2018-06-02,8186.91015625,
382,2018-06-03,8204.130859375,
383,2018-06-04,8288.5986328125,
384,2018-06-05,8358.6240234375,
385,2018-06-06,8200.9453125,
386,2018-06-07,8303.92578125,
387,2018-06-08,8306.564453125,
388,2018-06-09,8344.7275390625,
389,2018-06-10,8304.3447265625,
390,2018-06-11,8208.265625,
391,2018-06-12,7662.78369140625,
392,2018-06-13,7737.37646484375,
393,2018-06-14,7433.7919921875,
394,2018-06-15,7238.34033203125,
395,2018-06-16,7469.154296875,
396,2018-06-17,7267.853515625,
397,2018-06-18,7362.27392578125,
398,2018-06-19,7308.37255859375,
399,2018-06-20,7504.96435546875,
400,2018-06-21,7517.2724609375,
401,2018-06-22,7544.7265625,
402,2018-06-23,7512.1630859375,
403,2018-06-24,6995.10791015625,
404,2018-06-25,7060.69384765625,
405,2018-06-26,7013.15625,
406,2018-06-27,7085.32421875,
407,2018-06-28,6934.958984375,
408,2018-06-29,7000.072265625,
409,2018-06-30,6772.29736328125,
410,2018-07-01,7044.04541015625,
411,2018-07-02,7174.32080078125,
412,2018-07-03,7172.4140625,
413,2018-07-04,7358.88818359375,
414,2018-07-05,7321.02587890625,
415,2018-07-06,7382.248046875,
416,2018-07-07,7410.01806640625,
417,2018-07-08,7442.18798828125,
418,2018-07-09,7595.73583984375,
419,2018-07-10,7532.52099609375,
420,2018-07-11,7521.74755859375,
421,2018-07-12,7188.9453125,
422,2018-07-13,7247.57275390625,
423,2018-07-14,7081.06298828125,
424,2018-07-15,7098.93798828125,
425,2018-07-16,7098.712890625,
426,2018-07-17,7167.66015625,
427,2018-07-18,7472.1787109375,
428,2018-07-19,7925.8720703125,
429,2018-07-20,7999.63037109375,
430,2018-07-21,8116.82080078125,
431,2018-07-22,8040.4638671875,
432,2018-07-23,8109.42236328125,
433,2018-07-24,8101.86474609375,
434,2018-07-25,8341.3291015625,
435,2018-07-26,8819.98828125,
436,2018-07-27,8739.1669921875,
437,2018-07-28,8606.3232421875,
438,2018-07-29,8757.1962890625,
439,2018-07-30,8800.6015625,
440,2018-07-31,8833.15625,
441,2018-08-01,8795.685546875,
442,2018-08-02,8456.5810546875,
443,2018-08-03,8353.140625,
444,2018-08-04,8273.0205078125,
445,2018-08-05,8170.818359375,
446,2018-08-06,7845.52001953125,
447,2018-08-07,7857.4814453125,
448,2018-08-08,7739.08203125,
449,2018-08-09,7572.31103515625,
450,2018-08-10,7203.84423828125,
451,2018-08-11,7402.6533203125,
452,2018-08-12,7047.4619140625,
453,2018-08-13,7149.0771484375,
454,2018-08-14,7153.1689453125,
455,2018-08-15,7118.3759765625,
456,2018-08-16,7061.70263671875,
457,2018-08-17,7117.9052734375,
458,2018-08-18,7148.53564453125,
459,2018-08-19,7348.67578125,
460,2018-08-20,7217.77197265625,
461,2018-08-21,7303.76416015625,
462,2018-08-22,7128.60791015625,
463,2018-08-23,7292.271484375,
464,2018-08-24,7178.30029296875,
465,2018-08-25,7342.58056640625,
466,2018-08-26,7461.955078125,
467,2018-08-27,7505.34228515625,
468,2018-08-28,7482.0595703125,
469,2018-08-29,7631.70703125,
470,2018-08-30,7787.0205078125,
471,2018-08-31,7764.6328125,
472,2018-09-01,7727.25439453125,
473,2018-09-02,7782.82861328125,
474,2018-09-03,7893.546875,
475,2018-09-04,7968.5107421875,
476,2018-09-05,7967.52783203125,
477,2018-09-06,8052.30810546875,
478,2018-09-07,7581.1298828125,
479,2018-09-08,7414.22412109375,
480,2018-09-09,7311.302734375,
481,2018-09-10,7103.75634765625,
482,2018-09-11,7154.830078125,
483,2018-09-12,7153.30810546875,
484,2018-09-13,7143.0908203125,
485,2018-09-14,7170.07177734375,
486,2018-09-15,7297.8681640625,
487,2018-09-16,7292.88720703125,
488,2018-09-17,7327.634765625,
489,2018-09-18,7308.85546875,
490,2018-09-19,7125.55517578125,
491,2018-09-20,7201.1103515625,
492,2018-09-21,7203.31591796875,
493,2018-09-22,7303.216796875,
494,2018-09-23,7477.1953125,
